id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SWZ,20.43,24.6,1.8,35.5
SWZ,26.9,25.7,1.56,36.1
SWZ,25.94,26.9,1.52,38.3
SWZ,28.69,28.2,1.58,39.5
SWZ,31.45,29.4,1.74,39.0
SWZ,34.22,30.8,1.62,40.5
SWZ,35.2,32.0,1.46,48.7
SWZ,39.81,33.6,1.46,48.8
SWZ,42.64,35.4,1.5,49.8
SWZ,38.6,37.1,1.61,47.5
SWZ,45.55,39.0,1.35,48.3
SWZ,51.18,40.8,1.71,48.7
SWZ,54.3,42.5,2.27,52.4
SWZ,57.53,44.3,2.39,53.1
SWZ,65.0,45.9,1.58,54.7
SWZ,64.12,47.8,2.28,51.6
SWZ,63.43,49.5,3.0,41.6
SWZ,73.5,51.4,2.29,37.9
SWZ,73.96,53.1,2.11,39.0
SWZ,77.03,54.7,2.3,40.3
SWZ,79.99,56.4,2.1,40.5
SWZ,82.9,58.1,1.95,42.0
SWZ,85.83964369453065,59.258441558441525,2.16,40.71615591929017
SWZ,88.77619225556593,60.904630152456214,2.348577075098814,40.79602683637849
SWZ,91.71274081660121,62.5508187464709,2.387262845849802,40.8758977534668
