id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SYC,94.14,100.0,1.61,0.0
SYC,94.41,100.0,1.72,0.0
SYC,96.1,100.0,1.54,0.0
SYC,94.95,100.0,1.48,0.0
SYC,95.22,100.0,1.58,0.0
SYC,95.51,100.0,1.28,0.0
SYC,99.0,100.0,1.19,0.0
SYC,96.14,100.0,1.17,0.0
SYC,96.48,100.0,1.21,0.0
SYC,96.84,100.0,1.26,0.0
SYC,97.0,100.0,1.18,0.0
SYC,98.08,100.0,1.02,0.0
SYC,98.3,100.0,1.03,0.0
SYC,98.0,100.0,0.95,0.6
SYC,100.0,100.0,1.03,0.6
SYC,100.0,100.0,1.08,0.7
SYC,100.0,100.0,1.12,0.6
SYC,100.0,100.0,1.12,0.6
SYC,100.0,100.0,1.16,0.7
SYC,100.0,100.0,1.03,0.6
SYC,100.0,100.0,1.03,0.8
SYC,100.0,100.0,1.11,1.2
SYC,100.0,99.99999999999996,1.07,0.8688311688311682
SYC,100.0,99.99999999999997,0.90600790513834,0.9190852625635229
SYC,100.0,99.99999999999999,0.8801679841897233,0.9693393562958774
