id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TCD,3.11,2.7,5.13,1.5
TCD,3.44,2.6,5.06,1.5
TCD,3.77,2.5,5.12,1.4
TCD,4.09,2.4,8.02,1.4
TCD,3.5,2.3,7.71,1.3
TCD,4.75,2.3,7.53,1.4
TCD,5.11,2.3,7.75,1.4
TCD,5.49,2.3,8.78,1.4
TCD,5.89,2.4,6.06,1.4
TCD,6.3,2.6,6.95,1.4
TCD,6.4,2.7,6.47,1.2
TCD,8.98,2.9,6.27,1.1
TCD,7.79,3.1,7.14,1.1
TCD,8.09,3.5,7.47,1.0
TCD,8.43,3.8,7.4,1.0
TCD,7.7,4.2,7.86,1.1
TCD,9.25,4.7,7.6,1.1
TCD,10.9,5.2,7.39,1.1
TCD,10.06,5.9,7.4,1.2
TCD,8.4,6.6,7.04,1.2
TCD,10.87,7.3,6.61,1.1
TCD,11.27,8.0,7.15,1.1
TCD,11.451688311688303,6.479220779220775,6.77,1.006493506493506
TCD,11.840412196499145,6.717334839073965,7.493596837944664,0.9857142857142853
TCD,12.229136081309987,6.9554488989271555,7.535889328063241,0.9649350649350646
