id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TKM,99.6,99.4,4.0,0.1
TKM,99.64,99.5,3.21,0.1
TKM,99.61,99.6,2.82,0.1
TKM,99.58,99.6,3.76,0.1
TKM,99.55,99.7,4.14,0.1
TKM,99.54,99.7,3.74,0.1
TKM,99.84,99.8,3.63,0.1
TKM,99.57,99.8,3.31,0.1
TKM,99.61,99.8,3.95,0.1
TKM,99.67,99.9,3.28,0.1
TKM,100.0,99.9,3.55,0.1
TKM,99.81,99.9,3.78,0.1
TKM,99.88,99.9,3.77,0.1
TKM,99.94,99.9,3.41,0.1
TKM,99.98,99.9,3.08,0.1
TKM,100.0,99.9,2.85,0.1
TKM,100.0,99.9,2.86,0.1
TKM,100.0,99.9,2.86,0.1
TKM,100.0,99.9,2.83,0.1
TKM,99.9,99.9,2.9,0.1
TKM,100.0,99.9,3.0,0.1
TKM,100.0,99.9,3.11,0.09999999999999996
TKM,100.0,100.0,3.08,0.09999999999999996
TKM,100.0,100.0,2.8860474308300397,0.09999999999999996
TKM,100.0,100.0,2.8478557312252963,0.09999999999999995
