id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TLS,17.83,1.2,,0.0
TLS,25.6,1.3,,0.0
TLS,24.1,1.5,,0.0
TLS,27.7,1.7,3.82,0.0
TLS,30.36,2.0,7.42,0.0
TLS,33.5,2.3,4.65,0.0
TLS,36.66,2.6,4.4,0.0
TLS,36.6,3.0,3.14,0.0
TLS,43.05,3.5,2.58,0.1
TLS,46.27,4.0,2.44,0.1
TLS,38.0,4.65,2.29,0.1
TLS,52.72,5.2,3.1,0.1
TLS,55.95,6.0,4.66,0.1
TLS,59.18,6.8,2.09,0.1
TLS,62.41,7.7,1.78,0.1
TLS,67.28,8.6,1.68,0.1
TLS,76.5,9.5,1.55,0.1
TLS,79.54,10.7,1.61,0.1
TLS,85.16,11.7,1.36,0.1
TLS,90.63,12.85,1.31,0.1
TLS,96.0,14.0,1.28,0.1
TLS,100.0,15.2,1.3,0.1
TLS,100.0,13.996505026299856,1.3,0.13636363636363627
TLS,100.0,14.68841910371266,0.4241052631578939,0.14268774703557305
TLS,100.0,15.380333181125462,0.20849624060150268,0.1490118577075098
