id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TUV,94.59,12.0,,0.0
TUV,94.78,13.5,,0.0
TUV,94.63,15.6,,0.0
TUV,95.13,18.0,,0.0
TUV,95.31,20.9,,0.0
TUV,95.5,24.1,,0.0
TUV,95.72,27.8,,0.0
TUV,96.7,32.3,,0.0
TUV,96.2,37.4,,0.2
TUV,96.47,42.2,,0.3
TUV,96.74,47.0,,0.4
TUV,97.02,51.6,,0.2
TUV,97.67,56.0,,0.3
TUV,97.58,59.6,,0.7
TUV,97.85,62.9,,0.7
TUV,98.12,65.6,,3.0
TUV,97.3,67.5,,7.3
TUV,98.72,69.7,,7.0
TUV,98.97,71.4,,6.6
TUV,99.7,72.5,,6.5
TUV,99.43,73.7,,6.7
TUV,99.68,74.6,,6.7
TUV,99.87181818181813,77.53980298478442,,8.292411184270703
TUV,100.0,79.14378757726064,,8.939157499316586
TUV,100.0,80.74777216973686,,9.585903814362469
