id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TZA,8.65,0.6,1.03,17.8
TZA,9.68,0.6,1.08,17.8
TZA,10.71,0.6,1.2,17.8
TZA,11.1,0.7,1.36,17.8
TZA,11.4,0.8,1.62,17.3
TZA,13.8,0.8,1.46,17.0
TZA,14.86,0.9,1.68,16.9
TZA,15.94,1.0,1.35,17.2
TZA,11.5,1.1,1.33,17.2
TZA,11.2,1.3,1.2,17.1
TZA,14.8,1.5,1.3,17.1
TZA,14.2,1.7,1.46,16.6
TZA,15.3,2.0,1.55,16.1
TZA,16.4,2.3,1.62,15.9
TZA,23.5,2.8,1.47,16.3
TZA,26.22,3.2,1.49,16.1
TZA,32.8,3.8,1.5,16.2
TZA,32.1,4.4,1.59,16.0
TZA,34.93,4.9,1.61,15.9
TZA,37.7,5.6,1.76,15.7
TZA,39.9,6.2,1.81,15.9
TZA,42.74,6.9,1.78,15.521904761904757
TZA,44.666160374080405,5.740259740259736,1.73,15.410476190476183
TZA,46.97177426481837,6.027159796725011,1.7770355731225302,15.299047619047615
TZA,49.277388155556324,6.314059853190284,1.8020059288537553,15.187619047619043
