id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
UGA,7.4,0.9,0.86,19.5
UGA,8.6,0.9,0.9,20.5
UGA,7.8,0.9,0.84,20.4
UGA,10.53,0.8,0.84,20.4
UGA,11.57,0.8,0.83,20.1
UGA,8.9,0.8,1.03,19.7
UGA,9.0,0.8,1.5,19.2
UGA,14.81,0.9,1.36,19.0
UGA,15.92,0.8,1.2,19.0
UGA,10.0,0.9,1.24,19.1
UGA,12.1,0.85,1.31,18.5
UGA,14.6,0.9,1.43,18.3
UGA,20.47,0.9,1.25,18.5
UGA,13.9,0.9,1.22,18.8
UGA,20.4,0.9,1.26,19.5
UGA,18.5,0.9,1.27,19.2
UGA,26.7,0.8,1.27,19.2
UGA,32.39,0.8,1.43,19.5
UGA,41.92,0.8,1.3,34.8
UGA,41.3,0.8,1.27,38.1
UGA,42.14,0.7,1.23,32.4
UGA,45.22,0.7,1.17,32.7
UGA,46.440864752185185,0.7850649350649345,1.12,30.059767325105447
UGA,48.14250912306828,0.7804065499717668,1.3784189723320162,27.890063058680497
UGA,49.844153493951374,0.7757481648785992,1.3949901185770752,25.720358792255546
