id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
UKR,99.14,91.4,1.73,1.3
UKR,99.2,91.9,1.81,1.2
UKR,99.26,92.2,1.75,1.0
UKR,99.32,92.5,1.75,1.0
UKR,99.38,93.0,1.75,1.2
UKR,99.89,93.3,1.74,1.3
UKR,99.54,93.6,1.77,1.8
UKR,99.8,93.8,1.76,2.4
UKR,99.79,94.1,1.74,2.7
UKR,99.9,94.3,1.65,3.0
UKR,99.97,94.4,1.6,2.9
UKR,100.0,94.5,1.63,2.7
UKR,99.87,94.7,1.57,2.9
UKR,100.0,94.8,1.58,3.5
UKR,100.0,95.0,1.45,3.5
UKR,100.0,95.1,1.41,4.1
UKR,100.0,95.2,1.45,5.5
UKR,100.0,95.2,1.47,6.5
UKR,100.0,95.2,1.48,6.9
UKR,100.0,95.2,1.49,7.4
UKR,100.0,95.2,1.38,8.7
UKR,100.0,95.2,1.33,7.197619047619047
UKR,100.0,96.09610389610386,1.26,7.542424242424242
UKR,100.0,96.27125917560697,1.3172332015810277,7.887229437229437
UKR,100.0,96.44641445511007,1.2945750988142293,8.232034632034631
