id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
URY,97.64,100.0,0.69,26.4
URY,97.73,100.0,0.54,28.8
URY,97.8,100.0,0.48,29.6
URY,97.88,100.0,0.53,30.0
URY,97.96,100.0,0.94,26.1
URY,98.05,100.0,0.75,28.4
URY,98.51,100.0,1.19,25.7
URY,98.69,100.0,0.63,32.1
URY,98.78,100.0,0.94,35.0
URY,99.1,100.0,0.92,35.7
URY,99.3,100.0,0.59,45.0
URY,99.17,100.0,0.74,41.6
URY,99.6,100.0,0.81,39.9
URY,99.61,100.0,0.64,44.3
URY,99.66,100.0,0.51,49.5
URY,99.71,100.0,0.49,52.7
URY,99.7,100.0,0.47,53.9
URY,99.8,100.0,0.43,54.5
URY,99.8,100.0,0.45,54.5
URY,99.9,100.0,0.4,53.3
URY,100.0,100.0,0.48,54.7
URY,100.0,100.0,0.51,54.84250890651272
URY,100.0,99.99999999999996,0.52,55.10115085717006
URY,100.0,99.99999999999997,0.4667984189723318,55.3597928078274
URY,100.0,99.99999999999999,0.45261857707509856,55.618434758484725
