id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
VCT,79.96,95.9,1.57,4.5
VCT,82.41,95.9,1.81,2.9
VCT,82.45,95.9,1.84,3.1
VCT,83.69,95.8,1.82,2.9
VCT,84.93,95.9,1.82,3.4
VCT,86.19,95.9,1.66,3.3
VCT,87.47,95.8,1.65,2.8
VCT,88.79,95.8,1.66,2.5
VCT,90.08,95.6,1.58,3.0
VCT,91.41,95.6,2.0,2.3
VCT,92.74,95.5,1.55,2.8
VCT,94.09,95.4,1.6,3.8
VCT,95.43,95.2,1.61,2.9
VCT,96.78,95.1,1.55,3.0
VCT,98.12,95.0,1.78,1.4
VCT,99.45,94.7,1.6,2.2
VCT,99.74,94.5,1.58,2.0
VCT,99.97,94.2,1.44,2.9
VCT,100.0,94.0,1.61,3.0
VCT,100.0,93.7,1.45,3.2
VCT,100.0,93.3,1.43,2.9
VCT,100.0,92.9,1.36,3.0
VCT,100.0,93.5558441558441,1.38,2.5142857142857125
VCT,100.0,93.42394127611514,1.42399209486166,2.480745341614905
VCT,100.0,93.29203839638618,1.4073320158102767,2.4472049689440976
