id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
VEN,98.9,97.5,1.68,14.4
VEN,99.9,97.4,1.45,13.2
VEN,99.8,97.3,1.79,12.0
VEN,95.7,97.2,1.68,12.5
VEN,99.1,97.2,1.45,13.8
VEN,98.78,97.1,1.41,13.4
VEN,99.3,97.0,1.41,14.8
VEN,98.85,97.0,1.35,15.7
VEN,98.92,97.0,1.3,15.5
VEN,99.0,97.0,1.27,15.4
VEN,99.09,96.8,1.66,13.1
VEN,98.84,96.8,1.43,14.1
VEN,99.28,96.7,1.37,13.1
VEN,99.37,96.7,1.47,14.7
VEN,100.0,96.6,1.53,11.4
VEN,100.0,96.6,1.3,14.6
VEN,99.4,96.4,1.3,13.8
VEN,99.2,96.3,1.33,13.6
VEN,99.88,96.1,1.01,13.8
VEN,99.85,95.9,1.03,15.1
VEN,99.92,95.8,0.78,22.7
VEN,99.99,95.5,0.87,28.38754898644516
VEN,99.95857142857139,95.80779220779215,0.91,34.62797147553336
VEN,100.0,95.72823263692824,0.9579841897233201,40.868393964621546
VEN,100.0,95.64867306606432,0.9262944664031618,47.108816453709736
