id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
VUT,22.19,15.9,1.95,0.0
VUT,23.96,15.8,1.99,0.0
VUT,25.72,15.6,1.8,0.0
VUT,27.48,15.3,1.81,0.3
VUT,29.24,15.2,1.23,0.4
VUT,31.02,14.7,1.21,0.4
VUT,26.44,14.3,0.96,0.4
VUT,33.63,13.8,1.96,0.3
VUT,36.47,13.3,1.71,2.2
VUT,33.29,12.7,2.18,1.8
VUT,44.1,12.2,1.99,2.0
VUT,42.04,11.6,2.13,1.6
VUT,43.91,10.9,1.82,2.4
VUT,31.7,10.3,1.66,3.6
VUT,49.12,9.8,2.38,2.1
VUT,52.26,9.3,2.14,2.6
VUT,57.82,8.8,2.09,2.0
VUT,62.8,8.4,1.97,2.2
VUT,61.6,7.9,2.42,2.0
VUT,64.5,7.6,2.2,2.5
VUT,67.3,7.3,2.93,2.2
VUT,70.04,6.9,2.92,1.9
VUT,71.87313701311,6.223376623376623,2.84,2.998701298701297
VUT,74.13323146898918,5.746357989836252,2.634426877470356,3.129418407679276
VUT,76.39332592486836,5.26933935629588,2.6862450592885376,3.2601355166572543
