id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
WSM,88.03,18.1,2.0,22.9
WSM,88.65,19.0,1.56,13.1
WSM,89.27,19.8,1.46,11.1
WSM,89.89,20.5,1.56,16.3
WSM,90.51,21.4,1.51,12.0
WSM,91.14,22.3,1.49,13.5
WSM,96.37,23.2,1.48,8.0
WSM,92.47,24.2,1.5,6.7
WSM,98.1,25.1,1.37,6.9
WSM,97.9,26.0,1.29,5.6
WSM,96.41,27.05,1.47,8.4
WSM,96.67,27.9,1.43,2.9
WSM,96.78,28.8,1.68,3.3
WSM,97.0,29.7,1.65,3.2
WSM,97.9,30.4,1.55,2.6
WSM,98.16,31.4,1.71,3.2
WSM,98.86,32.2,1.62,3.6
WSM,96.8,33.3,1.5,3.5
WSM,99.82,34.3,1.54,4.8
WSM,99.2,35.3,1.7,5.0
WSM,100.0,36.15,1.41,5.0
WSM,98.3,37.2,1.6,5.6
WSM,99.817232450818,37.88051948051946,1.28,5.29461915780792
WSM,100.0,38.789892715979654,1.4950592885375493,5.512244568570212
WSM,100.0,39.69926595143985,1.4915316205533595,5.729869979332504
