id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ZMB,16.7,13.9,0.23,22.3
ZMB,20.21,14.2,0.24,22.6
ZMB,17.4,14.8,0.24,22.9
ZMB,18.5,15.1,0.25,23.2
ZMB,20.3,15.5,0.25,23.6
ZMB,23.28,15.7,0.25,23.7
ZMB,24.08,15.9,0.23,24.1
ZMB,18.5,16.0,0.24,23.9
ZMB,25.74,16.1,0.27,22.7
ZMB,26.59,16.0,0.3,22.4
ZMB,22.0,16.0,0.3,22.8
ZMB,28.32,15.8,0.29,23.1
ZMB,29.19,15.4,0.34,23.8
ZMB,30.05,15.1,0.33,24.1
ZMB,27.9,14.6,0.34,23.3
ZMB,31.1,14.1,0.38,23.5
ZMB,35.38,13.5,0.5,22.6
ZMB,40.3,12.8,0.47,22.4
ZMB,40.23,12.2,0.46,22.6
ZMB,43.0,11.5,0.52,22.0
ZMB,44.6,10.9,0.54,21.3
ZMB,46.69,10.2,0.49,22.565238095238087
ZMB,49.132945909858776,11.623072550165338,0.46,22.526147186147178
ZMB,51.28649483974706,11.341798139898792,0.5210276679841898,22.48705627705627
ZMB,53.44004376963534,11.060523729632246,0.5357509881422925,22.44796536796536
