id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AFG,4.45,6.7,2.16,6.6
AFG,9.3,7.7,1.56,6.4
AFG,14.13,8.8,1.9,5.9
AFG,18.97,10.0,1.73,6.1
AFG,23.81,11.1,1.55,7.1
AFG,28.67,12.5,2.29,5.8
AFG,33.54,13.9,2.39,7.1
AFG,38.44,15.3,2.76,7.2
AFG,42.4,16.8,5.39,4.8
AFG,48.28,18.2,7.18,4.9
AFG,42.7,19.7,9.55,5.8
AFG,43.22,21.3,15.35,5.6
AFG,69.1,22.7,11.38,7.3
AFG,68.04,24.3,8.38,8.1
AFG,89.5,25.7,7.91,10.0
AFG,71.5,27.25,8.28,9.2
AFG,97.7,28.5,7.47,11.0
AFG,97.7,30.0,7.81,10.7
AFG,93.43,31.1,9.29,9.9
AFG,97.7,32.45,10.33,10.5
AFG,97.7,33.8,14.73,10.2
AFG,97.7,35.4,14.85,10.7
AFG,,,14.62,
AFG,,,,
AFG,,,,
