id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ARE,100.0,100.0,2.74,0.1
ARE,100.0,100.0,2.3,0.1
ARE,100.0,100.0,1.78,0.1
ARE,100.0,100.0,2.12,0.1
ARE,100.0,100.0,2.1,0.1
ARE,100.0,100.0,1.86,0.1
ARE,100.0,100.0,1.8,0.1
ARE,100.0,100.0,1.67,0.1
ARE,100.0,100.0,1.89,0.1
ARE,100.0,100.0,1.94,0.1
ARE,100.0,100.0,1.95,0.1
ARE,100.0,100.0,1.98,0.1
ARE,100.0,100.0,1.94,0.1
ARE,100.0,100.0,1.91,0.1
ARE,100.0,100.0,1.78,0.1
ARE,100.0,100.0,1.77,0.1
ARE,100.0,100.0,1.75,0.1
ARE,100.0,100.0,1.58,0.2
ARE,100.0,100.0,1.54,0.3
ARE,100.0,100.0,1.59,0.7
ARE,100.0,100.0,1.58,0.9
ARE,100.0,100.0,1.59,
ARE,,,1.44,
ARE,,,,
ARE,,,,
