id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AUS,100.0,100.0,1.67,8.4
AUS,100.0,100.0,1.6,8.4
AUS,100.0,100.0,1.6,8.7
AUS,100.0,100.0,1.68,7.2
AUS,100.0,100.0,1.68,6.7
AUS,100.0,100.0,1.69,6.7
AUS,100.0,100.0,1.69,6.9
AUS,100.0,100.0,1.65,7.0
AUS,100.0,100.0,1.67,6.8
AUS,100.0,100.0,1.64,7.2
AUS,100.0,100.0,1.61,8.2
AUS,100.0,100.0,1.59,8.3
AUS,100.0,100.0,1.62,8.3
AUS,100.0,100.0,1.59,9.2
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.4
AUS,100.0,100.0,1.6,9.7
AUS,100.0,100.0,1.64,9.6
AUS,100.0,100.0,1.63,10.1
AUS,100.0,100.0,1.53,10.9
AUS,100.0,100.0,1.48,
AUS,,,1.5,
AUS,,,,
AUS,,,,
