id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BEN,21.53,0.6,17.54,12.0
BEN,21.9,0.8,25.59,11.2
BEN,23.36,1.1,33.49,10.7
BEN,24.27,1.5,29.93,10.3
BEN,25.18,1.9,32.02,10.1
BEN,26.1,2.4,23.27,9.9
BEN,27.9,2.9,21.62,9.7
BEN,28.01,3.4,17.79,9.2
BEN,28.99,3.9,17.04,9.3
BEN,29.99,4.2,32.75,8.9
BEN,34.2,4.6,40.34,7.9
BEN,36.9,4.7,43.92,8.1
BEN,38.4,4.9,89.85,8.4
BEN,34.65,5.0,34.59,8.9
BEN,34.1,5.1,13.7,8.7
BEN,29.62,5.0,16.15,8.7
BEN,37.03,4.9,23.53,7.9
BEN,34.5,4.9,20.59,7.9
BEN,39.01,4.8,36.84,7.7
BEN,40.0,4.8,13.45,8.0
BEN,40.99,4.7,7.83,8.0
BEN,41.97,4.6,7.38,
BEN,,,7.48,
BEN,,,,
BEN,,,,
