id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BRA,94.43,89.0,0.98,37.7
BRA,96.02,89.6,1.05,36.1
BRA,96.65,90.2,1.01,37.3
BRA,96.98,90.6,0.95,39.4
BRA,96.77,91.3,0.93,39.7
BRA,97.09,91.6,0.91,40.6
BRA,97.59,92.1,0.88,41.3
BRA,98.13,92.6,0.88,42.4
BRA,98.53,93.1,0.89,42.5
BRA,98.86,93.6,0.84,44.4
BRA,98.6,94.0,0.86,42.8
BRA,99.33,94.3,0.87,41.8
BRA,99.52,94.7,0.9,40.2
BRA,99.58,95.0,0.93,39.4
BRA,99.65,95.3,0.94,38.7
BRA,99.71,95.6,0.9,40.4
BRA,99.7,95.8,0.84,42.4
BRA,99.8,95.9,0.84,42.1
BRA,99.7,96.1,0.79,43.3
BRA,99.8,96.3,0.75,44.1
BRA,99.7,96.4,0.71,46.4
BRA,99.46,96.5,0.76,
BRA,,,0.72,
BRA,,,,
BRA,,,,
