id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BTN,31.15,27.6,0.22,3.6
BTN,40.24,31.2,0.2,4.3
BTN,44.12,34.9,0.19,4.7
BTN,41.1,38.5,0.15,4.8
BTN,51.87,42.8,0.13,5.2
BTN,59.81,46.6,0.15,5.0
BTN,59.67,50.5,0.09,6.0
BTN,71.8,54.3,0.06,7.5
BTN,67.55,57.8,0.06,8.8
BTN,71.52,61.2,0.06,10.6
BTN,73.28,64.4,0.07,12.6
BTN,81.78,67.9,0.11,10.6
BTN,91.5,70.4,0.12,11.0
BTN,87.42,73.1,0.12,11.2
BTN,91.39,75.5,0.14,11.6
BTN,95.36,77.7,0.14,12.0
BTN,99.32,79.75,0.16,11.5
BTN,97.7,81.5,0.18,12.0
BTN,99.96,83.1,0.21,11.5
BTN,100.0,84.6,0.16,11.6
BTN,100.0,86.0,0.1,10.8
BTN,100.0,87.0,0.12,10.6
BTN,,,0.12,
BTN,,,,
BTN,,,,
