id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BWA,26.52,44.5,3.31,0.0
BWA,24.8,46.3,3.41,0.0
BWA,27.0,47.9,3.47,0.0
BWA,33.07,49.65,3.67,0.0
BWA,35.26,50.9,4.0,0.0
BWA,37.46,51.95,3.89,0.0
BWA,39.68,53.3,4.2,0.0
BWA,41.92,54.7,5.11,0.0
BWA,44.5,56.1,6.46,0.0
BWA,43.36,57.4,6.21,0.0
BWA,52.03,58.5,8.53,0.0
BWA,53.24,59.6,8.43,0.0
BWA,55.97,60.5,14.46,0.0
BWA,57.97,61.1,6.12,0.0
BWA,60.02,61.8,2.96,0.0
BWA,62.13,62.3,1.83,0.0
BWA,64.2,63.0,2.36,0.1
BWA,67.4,63.6,2.34,0.1
BWA,68.26,64.1,2.42,0.1
BWA,70.1,64.8,2.7,0.1
BWA,71.83,65.3,2.54,0.1
BWA,73.73,65.7,2.47,
BWA,,,2.84,
BWA,,,,
BWA,,,,
