id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CAN,100.0,100.0,0.95,22.0
CAN,100.0,100.0,0.96,21.5
CAN,100.0,100.0,0.95,21.8
CAN,100.0,100.0,1.0,21.2
CAN,100.0,100.0,0.98,21.6
CAN,100.0,100.0,0.94,21.3
CAN,100.0,100.0,0.95,21.2
CAN,100.0,100.0,0.96,21.3
CAN,100.0,100.0,0.93,21.3
CAN,100.0,100.0,0.91,21.9
CAN,100.0,100.0,0.94,21.1
CAN,100.0,100.0,0.91,21.2
CAN,100.0,100.0,0.91,21.4
CAN,100.0,100.0,0.88,21.8
CAN,100.0,100.0,0.88,21.8
CAN,100.0,100.0,0.88,21.8
CAN,100.0,100.0,0.85,21.6
CAN,100.0,100.0,0.87,22.3
CAN,100.0,100.0,0.9,21.9
CAN,100.0,100.0,0.92,22.5
CAN,100.0,100.0,0.82,23.8
CAN,100.0,100.0,0.88,
CAN,,,0.86,
CAN,,,,
CAN,,,,
