id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CIV,48.73,17.0,1.38,10.1
CIV,49.67,16.5,1.57,10.4
CIV,51.4,16.6,1.41,10.3
CIV,51.52,16.5,1.04,11.2
CIV,52.45,16.4,1.35,9.4
CIV,58.9,16.6,1.34,9.5
CIV,60.17,16.7,1.22,9.3
CIV,55.33,17.0,1.19,9.9
CIV,60.3,17.5,1.16,9.8
CIV,57.35,18.0,0.97,9.8
CIV,58.37,18.6,1.05,9.0
CIV,55.8,19.2,1.07,9.6
CIV,55.8,19.9,1.22,9.3
CIV,61.45,20.9,1.27,8.7
CIV,61.9,21.9,1.2,8.8
CIV,62.6,23.1,1.1,7.6
CIV,64.3,24.3,1.17,8.6
CIV,65.6,25.9,1.19,8.3
CIV,67.15,27.3,1.03,9.2
CIV,68.57,28.7,0.99,9.7
CIV,69.88,30.2,0.98,9.5
CIV,71.14,31.7,1.03,
CIV,,,1.06,
CIV,,,,
CIV,,,,
