id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
COG,29.42,8.2,14.62,4.6
COG,30.33,8.8,12.58,4.2
COG,31.23,9.3,6.94,5.0
COG,32.12,10.0,8.23,3.5
COG,33.03,10.8,9.01,3.4
COG,33.8,11.5,10.15,3.3
COG,34.87,12.5,10.66,2.6
COG,35.83,13.5,10.54,3.3
COG,36.8,14.5,9.34,2.9
COG,37.1,15.9,9.22,2.3
COG,40.01,17.1,7.04,1.9
COG,40.82,18.6,3.93,2.7
COG,41.6,20.1,2.97,3.0
COG,42.5,21.7,3.47,2.8
COG,43.4,23.5,3.16,2.8
COG,44.34,25.2,2.04,13.2
COG,45.28,26.9,1.95,14.1
COG,46.21,28.7,1.91,14.9
COG,47.04,30.4,2.11,14.7
COG,47.73,32.2,2.0,13.9
COG,48.68,34.1,1.93,14.2
COG,49.66,35.6,1.85,
COG,,,1.86,
COG,,,,
COG,,,,
