id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CUB,97.0,71.4,1.72,33.9
CUB,96.21,74.0,1.65,33.6
CUB,95.5,76.7,1.63,34.2
CUB,96.48,78.9,1.64,33.3
CUB,96.62,81.2,1.61,33.5
CUB,96.77,82.8,1.71,26.1
CUB,96.94,84.45,1.63,21.7
CUB,97.13,86.2,1.49,18.2
CUB,97.33,87.2,1.59,18.5
CUB,97.56,88.5,1.6,18.8
CUB,97.79,89.5,1.97,15.4
CUB,98.02,90.4,1.66,19.0
CUB,98.26,91.1,1.62,19.3
CUB,98.5,91.7,1.46,18.0
CUB,98.73,92.3,1.42,22.9
CUB,98.96,92.9,1.45,21.0
CUB,99.18,93.2,1.37,19.0
CUB,99.4,93.5,1.21,21.8
CUB,99.61,93.8,1.11,23.9
CUB,99.8,94.0,1.09,23.0
CUB,99.93,94.3,1.12,23.8
CUB,100.0,94.3,1.17,
CUB,,,1.15,
CUB,,,,
CUB,,,,
