id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DEU,100.0,100.0,1.6,3.7
DEU,100.0,100.0,1.6,3.9
DEU,100.0,100.0,1.57,4.4
DEU,100.0,100.0,1.52,5.4
DEU,100.0,100.0,1.48,6.3
DEU,100.0,100.0,1.44,7.3
DEU,100.0,100.0,1.42,8.6
DEU,100.0,100.0,1.37,10.5
DEU,100.0,100.0,1.37,10.2
DEU,100.0,100.0,1.36,10.7
DEU,100.0,100.0,1.38,11.6
DEU,100.0,100.0,1.38,12.5
DEU,100.0,100.0,1.35,13.6
DEU,100.0,100.0,1.36,13.6
DEU,100.0,100.0,1.32,14.0
DEU,100.0,100.0,1.28,14.6
DEU,100.0,100.0,1.28,14.2
DEU,100.0,100.0,1.25,15.2
DEU,100.0,100.0,1.22,16.0
DEU,100.0,100.0,1.2,17.1
DEU,100.0,100.0,1.18,18.6
DEU,100.0,100.0,1.2,
DEU,,,1.19,
DEU,,,,
DEU,,,,
