id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DJI,55.96,3.9,2.04,0.0
DJI,56.12,4.0,1.93,0.0
DJI,49.7,4.2,2.0,0.0
DJI,56.42,4.3,2.11,0.0
DJI,56.58,4.7,1.89,0.0
DJI,56.75,4.8,1.39,0.0
DJI,55.5,5.0,1.35,0.0
DJI,57.15,5.4,1.43,0.0
DJI,57.38,5.6,1.47,0.0
DJI,57.62,6.0,1.27,0.0
DJI,57.87,6.3,1.36,0.0
DJI,58.12,6.8,1.22,0.0
DJI,54.6,7.2,1.25,0.0
DJI,58.64,7.5,1.28,0.0
DJI,58.89,7.8,3.85,0.1
DJI,59.13,8.2,2.42,0.1
DJI,59.84,8.4,4.31,0.1
DJI,60.2,8.7,6.62,0.2
DJI,62.41,8.9,7.79,0.2
DJI,64.7,9.2,4.86,0.1
DJI,64.5,9.25,3.03,0.1
DJI,65.44,9.6,3.52,0.1
DJI,,,3.41,
DJI,,,,
DJI,,,,
