id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DMA,81.05,80.6,1.33,6.1
DMA,82.05,81.6,1.36,4.7
DMA,87.7,82.5,1.39,7.9
DMA,84.02,83.4,1.48,5.5
DMA,85.01,84.1,1.25,6.7
DMA,86.02,84.8,1.27,5.4
DMA,87.04,85.6,1.18,5.7
DMA,88.09,86.1,1.38,4.1
DMA,90.9,86.9,1.31,4.2
DMA,90.22,87.5,1.39,4.2
DMA,91.3,87.9,1.22,6.3
DMA,90.1,88.4,1.08,9.8
DMA,93.49,88.7,1.15,7.3
DMA,94.57,89.0,1.09,7.7
DMA,95.66,89.3,1.11,6.2
DMA,96.74,89.5,1.16,5.0
DMA,97.81,89.6,1.1,7.2
DMA,98.89,89.5,1.18,5.8
DMA,99.57,89.7,1.46,4.7
DMA,99.92,89.6,1.24,4.2
DMA,100.0,89.5,0.97,4.3
DMA,100.0,89.4,0.93,4.3
DMA,,,0.9,
DMA,,,,
DMA,,,,
