id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ECU,93.7,88.0,1.99,13.4
ECU,93.97,89.0,2.13,11.5
ECU,94.23,89.7,2.1,11.7
ECU,94.97,90.5,2.36,11.5
ECU,94.76,91.1,2.29,12.1
ECU,95.83,91.6,2.42,11.9
ECU,96.32,92.1,2.11,10.1
ECU,96.81,92.6,1.99,12.0
ECU,97.21,93.0,1.64,11.7
ECU,96.47,93.2,1.85,9.6
ECU,97.46,93.5,1.87,8.8
ECU,96.87,93.7,1.87,10.5
ECU,97.2,93.9,1.65,10.8
ECU,98.04,94.1,1.71,9.6
ECU,98.98,94.2,1.81,10.1
ECU,98.83,94.3,1.6,11.2
ECU,98.7,94.4,1.45,12.9
ECU,99.2,94.5,1.41,15.4
ECU,98.7,94.6,1.32,14.8
ECU,99.09,94.5,1.24,16.2
ECU,98.85,94.6,1.05,18.5
ECU,100.0,94.7,1.24,
ECU,,,1.28,
ECU,,,,
ECU,,,,
