id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GBR,100.0,100.0,1.54,1.0
GBR,100.0,100.0,1.53,0.9
GBR,100.0,100.0,1.48,1.0
GBR,100.0,100.0,1.47,0.9
GBR,100.0,100.0,1.48,1.1
GBR,100.0,100.0,1.47,1.4
GBR,100.0,100.0,1.47,1.6
GBR,100.0,100.0,1.45,1.8
GBR,100.0,100.0,1.44,2.4
GBR,100.0,100.0,1.35,2.9
GBR,100.0,100.0,1.37,3.1
GBR,100.0,100.0,1.31,3.9
GBR,100.0,100.0,1.38,4.2
GBR,100.0,100.0,1.37,5.2
GBR,100.0,100.0,1.34,6.5
GBR,100.0,100.0,1.28,7.7
GBR,100.0,100.0,1.22,7.7
GBR,100.0,100.0,1.18,8.8
GBR,100.0,100.0,1.17,10.1
GBR,100.0,100.0,1.15,11.4
GBR,100.0,100.0,1.07,13.5
GBR,100.0,100.0,1.17,
GBR,,,1.0,
GBR,,,,
GBR,,,,
