id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GUY,74.59,35.3,1.95,23.4
GUY,75.14,37.6,1.9,24.3
GUY,75.68,40.1,1.86,28.0
GUY,76.22,42.6,2.25,28.0
GUY,76.77,45.1,2.23,29.4
GUY,77.5,47.7,2.48,27.9
GUY,73.38,50.5,2.26,29.8
GUY,78.5,53.2,2.53,27.0
GUY,79.12,55.9,2.38,26.3
GUY,77.6,58.6,2.3,25.6
GUY,83.32,61.3,2.16,24.9
GUY,84.2,63.7,2.14,27.8
GUY,85.09,66.2,2.08,23.9
GUY,86.01,68.5,1.98,21.9
GUY,86.9,70.8,2.02,19.4
GUY,87.98,72.8,2.0,20.5
GUY,89.0,74.9,2.2,17.8
GUY,89.99,76.5,2.11,18.6
GUY,90.89,78.1,2.21,13.2
GUY,91.65,79.5,2.42,7.8
GUY,92.3,81.0,2.81,9.1
GUY,92.9,82.0,3.13,9.2
GUY,,,3.11,
GUY,,,,
GUY,,,,
