id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ITA,100.0,100.0,1.77,5.1
ITA,100.0,100.0,1.76,5.4
ITA,100.0,100.0,1.75,5.6
ITA,100.0,100.0,1.78,6.2
ITA,100.0,100.0,1.72,5.9
ITA,100.0,100.0,1.72,6.7
ITA,100.0,100.0,1.64,7.5
ITA,100.0,100.0,1.61,8.7
ITA,100.0,100.0,1.55,10.8
ITA,100.0,100.0,1.49,12.5
ITA,100.0,100.0,1.48,12.8
ITA,100.0,100.0,1.42,11.9
ITA,100.0,100.0,1.37,14.4
ITA,100.0,100.0,1.3,16.3
ITA,100.0,100.0,1.27,17.1
ITA,100.0,100.0,1.3,16.6
ITA,100.0,100.0,1.26,16.1
ITA,100.0,100.0,1.21,16.4
ITA,100.0,100.0,1.23,17.1
ITA,100.0,100.0,1.3,17.3
ITA,100.0,100.0,1.12,18.7
ITA,100.0,100.0,1.24,
ITA,,,1.23,
ITA,,,,
ITA,,,,
