id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KIR,55.57,1.0,2.53,0.0
KIR,57.29,1.1,2.43,0.0
KIR,59.0,1.2,2.11,0.0
KIR,60.7,1.3,2.28,0.0
KIR,62.42,1.4,1.97,0.1
KIR,69.68,1.6,2.04,0.1
KIR,68.8,1.9,1.87,0.1
KIR,67.65,2.1,1.87,0.1
KIR,69.44,2.4,1.94,0.1
KIR,64.19,2.8,1.97,0.1
KIR,63.17,3.2,2.41,0.2
KIR,74.85,3.6,2.24,0.2
KIR,76.66,4.2,2.02,0.2
KIR,78.83,4.8,1.97,0.2
KIR,83.39,5.5,2.19,0.3
KIR,90.56,6.3,1.87,0.9
KIR,92.57,7.1,1.77,1.1
KIR,85.67,8.0,2.13,1.0
KIR,87.47,9.1,2.11,1.1
KIR,89.26,10.0,2.09,1.1
KIR,91.05,11.3,2.13,1.1
KIR,92.83,12.4,2.22,1.0
KIR,,,2.18,
KIR,,,,
KIR,,,,
