id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KNA,95.39,100.0,1.16,26.4
KNA,93.53,100.0,1.1,26.0
KNA,95.83,100.0,1.12,24.3
KNA,96.04,100.0,1.12,26.3
KNA,96.26,100.0,1.19,22.0
KNA,96.5,100.0,1.04,25.3
KNA,96.75,100.0,1.06,0.0
KNA,97.02,100.0,1.03,0.0
KNA,97.31,100.0,1.08,0.0
KNA,97.62,100.0,1.03,0.0
KNA,99.83,100.0,1.04,1.0
KNA,100.0,100.0,1.04,0.9
KNA,100.0,100.0,1.01,1.3
KNA,100.0,100.0,1.02,1.4
KNA,100.0,100.0,1.05,1.6
KNA,100.0,100.0,1.09,1.6
KNA,100.0,100.0,1.06,1.7
KNA,100.0,100.0,1.07,1.3
KNA,100.0,100.0,1.08,1.3
KNA,100.0,100.0,1.1,1.3
KNA,100.0,100.0,1.07,1.4
KNA,100.0,100.0,1.04,1.4
KNA,,,1.04,
KNA,,,,
KNA,,,,
