id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KOR,100.0,100.0,1.56,0.7
KOR,100.0,100.0,1.5,0.7
KOR,100.0,100.0,1.48,0.7
KOR,100.0,100.0,1.44,0.8
KOR,100.0,100.0,1.37,0.8
KOR,100.0,100.0,1.32,0.9
KOR,100.0,100.0,1.28,0.9
KOR,100.0,100.0,1.25,1.0
KOR,100.0,100.0,1.22,1.1
KOR,100.0,100.0,1.21,1.2
KOR,100.0,100.0,1.22,1.3
KOR,100.0,100.0,1.22,1.3
KOR,100.0,100.0,1.2,1.6
KOR,100.0,100.0,1.2,1.9
KOR,100.0,100.0,1.17,2.9
KOR,100.0,100.0,1.18,2.7
KOR,100.0,100.0,1.16,2.6
KOR,100.0,100.0,1.18,2.8
KOR,100.0,100.0,1.16,3.2
KOR,100.0,100.0,1.14,3.2
KOR,100.0,100.0,1.04,3.6
KOR,100.0,100.0,1.04,
KOR,,,0.99,
KOR,,,,
KOR,,,,
