id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LCA,86.04,85.7,1.26,0.0
LCA,89.9,87.2,1.25,0.0
LCA,87.65,88.6,1.26,0.0
LCA,88.46,89.9,1.26,0.0
LCA,89.26,91.2,1.31,0.0
LCA,90.08,92.1,1.2,0.0
LCA,90.92,93.0,1.24,0.0
LCA,91.78,93.7,1.23,0.0
LCA,92.66,94.2,1.21,0.0
LCA,93.55,94.7,1.17,0.0
LCA,94.2,95.1,1.28,0.0
LCA,95.35,95.3,1.27,0.0
LCA,95.34,95.4,1.29,0.0
LCA,97.16,95.5,1.27,0.0
LCA,98.06,95.5,1.27,0.0
LCA,98.96,95.5,1.26,0.0
LCA,99.85,95.3,1.21,0.0
LCA,99.9,95.2,1.22,0.0
LCA,99.99,95.0,1.27,0.3
LCA,100.0,94.8,1.22,0.4
LCA,100.0,94.5,1.29,0.4
LCA,100.0,94.4,1.19,0.4
LCA,,,1.2,
LCA,,,,
LCA,,,,
