id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LUX,100.0,100.0,59.61,6.8
LUX,100.0,100.0,15.32,3.4
LUX,100.0,100.0,3.98,1.3
LUX,100.0,100.0,4.22,1.3
LUX,100.0,100.0,3.85,1.4
LUX,100.0,100.0,4.0,1.9
LUX,100.0,100.0,3.73,2.1
LUX,100.0,100.0,3.93,3.6
LUX,100.0,100.0,4.66,4.0
LUX,100.0,100.0,3.73,3.7
LUX,100.0,100.0,4.16,3.7
LUX,100.0,100.0,5.05,3.8
LUX,100.0,100.0,4.74,4.1
LUX,100.0,100.0,7.3,5.7
LUX,100.0,100.0,6.7,6.8
LUX,100.0,100.0,11.54,9.1
LUX,100.0,100.0,36.33,13.5
LUX,100.0,100.0,23.3,15.3
LUX,100.0,100.0,19.97,16.0
LUX,100.0,100.0,13.88,16.5
LUX,100.0,100.0,9.91,20.8
LUX,100.0,100.0,9.98,
LUX,,,9.86,
LUX,,,,
LUX,,,,
