id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MDG,12.57,1.2,2.28,30.2
MDG,14.8,1.2,1.99,29.0
MDG,13.95,1.2,1.45,36.3
MDG,20.3,1.1,1.75,35.8
MDG,15.33,1.1,1.7,36.2
MDG,16.03,1.1,1.64,37.0
MDG,16.76,1.1,1.56,39.2
MDG,17.5,1.1,1.55,39.7
MDG,18.26,1.0,1.5,42.5
MDG,17.4,1.0,1.43,43.3
MDG,12.3,1.0,1.43,29.5
MDG,14.3,1.0,1.61,27.9
MDG,18.7,1.0,1.76,26.8
MDG,12.9,1.0,1.95,26.4
MDG,22.98,1.0,1.85,26.4
MDG,23.76,1.0,1.81,26.5
MDG,22.9,1.1,1.72,25.6
MDG,24.1,1.1,2.08,24.7
MDG,36.5,1.1,1.82,30.9
MDG,31.04,1.2,1.95,30.7
MDG,32.0,1.3,1.83,31.3
MDG,35.12,1.4,1.87,30.7
MDG,,,1.86,
MDG,,,,
MDG,,,,
