id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NRU,99.06,100.0,2.55,0.0
NRU,99.05,100.0,2.69,0.0
NRU,99.02,100.0,2.57,0.0
NRU,99.0,100.0,2.13,0.0
NRU,98.98,100.0,2.07,0.0
NRU,98.97,100.0,2.2,0.0
NRU,98.99,100.0,2.7,0.1
NRU,99.8,100.0,2.2,0.1
NRU,99.07,100.0,2.27,0.1
NRU,99.13,100.0,1.9,0.0
NRU,99.21,100.0,1.95,0.0
NRU,99.0,100.0,1.75,0.1
NRU,99.37,100.0,1.86,0.1
NRU,99.44,100.0,1.97,0.1
NRU,99.52,100.0,2.05,0.1
NRU,99.0,100.0,1.77,0.1
NRU,99.67,100.0,1.63,0.2
NRU,99.83,100.0,1.59,0.6
NRU,99.92,100.0,1.53,0.7
NRU,100.0,100.0,1.48,0.6
NRU,100.0,100.0,1.33,1.4
NRU,100.0,100.0,1.33,2.1
NRU,,,1.28,
NRU,,,,
NRU,,,,
