id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
POL,100.0,100.0,2.23,6.9
POL,99.99,100.0,2.19,7.3
POL,99.96,100.0,2.16,7.5
POL,99.91,100.0,2.14,7.3
POL,99.85,100.0,2.14,7.3
POL,99.81,100.0,2.09,7.2
POL,99.78,100.0,2.1,7.2
POL,99.77,100.0,2.12,7.3
POL,99.78,100.0,2.14,8.0
POL,100.0,100.0,2.1,8.8
POL,100.0,100.0,2.13,9.5
POL,100.0,100.0,2.05,10.4
POL,100.0,100.0,2.02,10.9
POL,100.0,100.0,1.97,11.4
POL,100.0,100.0,1.96,11.6
POL,100.0,100.0,1.91,11.9
POL,100.0,100.0,1.96,11.3
POL,100.0,100.0,1.99,11.1
POL,100.0,100.0,1.99,15.0
POL,100.0,100.0,1.96,15.6
POL,100.0,100.0,1.95,16.1
POL,100.0,100.0,1.97,
POL,,,1.93,
POL,,,,
POL,,,,
