id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
RWA,6.2,0.1,3.09,0.9
RWA,4.72,0.1,3.48,1.2
RWA,6.05,0.1,3.03,1.4
RWA,7.37,0.1,2.83,1.2
RWA,8.71,0.1,3.53,0.8
RWA,4.8,0.1,2.69,7.8
RWA,11.41,0.2,1.93,7.8
RWA,12.8,0.2,2.15,7.7
RWA,6.0,0.2,1.85,7.9
RWA,15.61,0.3,1.79,7.8
RWA,9.7,0.3,2.02,7.7
RWA,10.8,0.4,1.84,7.8
RWA,17.5,0.5,1.82,7.8
RWA,15.2,0.6,2.12,7.5
RWA,19.8,0.7,1.97,8.2
RWA,22.8,1.0,1.85,8.2
RWA,29.37,1.3,1.6,8.2
RWA,34.1,1.7,1.81,8.3
RWA,37.96,2.3,1.59,8.3
RWA,46.6,3.2,1.58,8.4
RWA,45.19,4.2,1.58,8.6
RWA,48.7,5.4,1.59,8.6
RWA,,,1.58,
RWA,,,,
RWA,,,,
