id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SLV,84.52,57.9,1.53,22.7
SLV,87.06,60.0,1.5,21.6
SLV,87.55,62.0,1.47,21.5
SLV,86.96,64.0,1.46,21.1
SLV,87.36,65.8,1.39,20.1
SLV,87.53,67.8,1.31,20.3
SLV,89.2,69.5,1.19,20.1
SLV,91.11,71.3,1.18,16.9
SLV,91.0,73.25,1.07,18.2
SLV,91.08,75.1,1.09,17.2
SLV,91.58,77.0,1.06,17.8
SLV,92.58,78.7,1.07,17.0
SLV,93.68,80.5,1.04,17.1
SLV,95.04,82.2,0.97,14.5
SLV,95.13,83.9,0.98,13.7
SLV,95.4,85.4,1.1,12.7
SLV,96.0,86.9,1.08,12.8
SLV,96.8,88.3,1.07,16.4
SLV,97.0,89.6,1.15,16.1
SLV,97.36,90.7,1.24,13.7
SLV,99.72,91.8,1.04,18.0
SLV,97.89,92.7,1.18,
SLV,,,1.21,
SLV,,,,
SLV,,,,
