id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
STP,52.9,0.3,1.63,1.3
STP,51.46,0.4,2.0,1.0
STP,52.53,0.4,1.87,1.2
STP,53.59,0.5,1.96,1.4
STP,54.67,0.5,1.98,1.0
STP,55.75,0.6,1.87,0.7
STP,56.86,0.7,1.96,1.3
STP,57.98,0.8,1.87,1.6
STP,59.12,0.9,1.77,1.2
STP,56.9,1.0,1.76,1.1
STP,61.44,1.2,1.79,0.9
STP,62.62,1.3,1.47,1.0
STP,57.9,1.5,1.44,1.0
STP,64.96,1.7,1.55,1.0
STP,68.6,1.9,1.65,1.1
STP,67.31,2.1,1.33,0.9
STP,69.36,2.3,1.42,0.8
STP,74.27,2.6,1.28,0.7
STP,71.0,2.8,1.29,0.9
STP,75.12,3.1,1.31,1.0
STP,76.81,3.4,1.27,0.9
STP,78.45,3.7,1.34,0.9
STP,,,0.97,
STP,,,,
STP,,,,
