id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SVK,100.0,100.0,1.38,3.7
SVK,100.0,100.0,1.4,6.0
SVK,100.0,100.0,1.35,5.5
SVK,99.99,100.0,1.41,5.3
SVK,99.97,100.0,1.45,6.2
SVK,99.93,100.0,1.43,6.3
SVK,99.89,100.0,1.44,6.6
SVK,100.0,100.0,1.54,8.2
SVK,100.0,100.0,1.51,7.6
SVK,100.0,100.0,1.52,10.0
SVK,100.0,100.0,1.51,10.3
SVK,100.0,100.0,1.44,10.4
SVK,100.0,100.0,1.34,10.5
SVK,100.0,100.0,1.33,10.7
SVK,100.0,100.0,1.32,12.2
SVK,100.0,100.0,1.37,13.4
SVK,100.0,100.0,1.37,13.1
SVK,100.0,100.0,1.38,12.4
SVK,100.0,100.0,1.43,12.4
SVK,100.0,100.0,1.26,17.6
SVK,100.0,100.0,1.14,17.6
SVK,100.0,100.0,1.21,
SVK,,,1.3,
SVK,,,,
SVK,,,,
