id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TJK,98.47,36.5,0.16,62.4
TJK,98.6,40.0,0.16,64.1
TJK,99.0,43.6,0.12,64.2
TJK,100.0,47.1,0.13,64.6
TJK,98.55,51.0,0.16,61.4
TJK,99.3,54.3,0.14,63.7
TJK,98.56,57.7,0.16,61.6
TJK,98.59,60.8,0.18,53.8
TJK,98.65,63.7,0.18,54.6
TJK,99.0,66.2,0.15,60.6
TJK,98.79,68.6,0.15,61.8
TJK,98.87,70.8,0.14,60.0
TJK,99.1,72.7,0.17,55.8
TJK,99.04,74.6,0.17,55.1
TJK,99.12,76.4,0.29,45.9
TJK,98.0,77.7,0.31,48.1
TJK,99.26,79.3,0.33,43.7
TJK,99.3,80.8,0.38,44.2
TJK,99.3,81.9,0.41,41.6
TJK,99.45,83.3,0.42,40.1
TJK,99.51,84.3,0.46,38.8
TJK,99.57,85.5,0.48,
TJK,,,0.48,
TJK,,,,
TJK,,,,
