id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
UZB,99.63,83.3,2.64,0.7
UZB,99.59,83.8,2.63,0.8
UZB,99.7,84.0,2.68,1.0
UZB,99.51,84.2,2.67,1.4
UZB,99.47,84.7,2.6,1.0
UZB,99.45,84.7,2.55,1.6
UZB,99.49,85.1,2.53,0.9
UZB,99.46,85.3,2.53,0.9
UZB,99.49,85.3,2.56,0.8
UZB,99.54,85.4,2.18,1.3
UZB,99.6,85.7,2.07,1.3
UZB,99.66,85.7,2.21,1.0
UZB,99.72,85.5,2.24,1.3
UZB,99.78,85.3,2.06,1.2
UZB,99.84,85.3,1.93,1.4
UZB,99.89,85.0,1.81,1.7
UZB,99.94,84.8,1.88,1.6
UZB,99.97,84.5,1.79,1.7
UZB,99.99,84.2,1.63,1.5
UZB,100.0,83.5,1.71,1.6
UZB,100.0,83.2,1.65,1.0
UZB,99.9,82.8,1.63,
UZB,,,1.61,
UZB,,,,
UZB,,,,
