id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
VNM,88.24,13.4,2.03,17.2
VNM,88.92,16.1,1.99,17.4
VNM,89.1,19.1,1.94,16.2
VNM,90.27,22.1,1.89,14.5
VNM,90.95,25.6,1.93,13.3
VNM,96.1,29.1,1.79,12.4
VNM,96.0,33.0,1.65,13.4
VNM,93.09,37.2,1.51,12.9
VNM,93.84,41.7,1.56,12.2
VNM,96.1,46.4,1.5,11.7
VNM,97.43,51.2,1.47,10.3
VNM,99.0,56.6,1.47,12.6
VNM,97.89,62.5,1.23,14.6
VNM,98.53,68.1,1.26,14.8
VNM,99.2,73.8,1.31,15.3
VNM,99.25,78.7,1.33,14.7
VNM,99.2,83.7,1.24,18.5
VNM,100.0,87.4,1.17,21.3
VNM,100.0,90.7,1.19,18.9
VNM,99.4,93.0,1.44,16.2
VNM,99.8,94.7,1.51,15.9
VNM,100.0,96.1,1.39,
VNM,,,1.28,
VNM,,,,
VNM,,,,
