id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AFG,4.45,6.7,2.16,6.6
AFG,9.3,7.7,1.56,6.4
AFG,14.13,8.8,1.9,5.9
AFG,18.97,10.0,1.73,6.1
AFG,23.81,11.1,1.55,7.1
AFG,28.67,12.5,2.29,5.8
AFG,33.54,13.9,2.39,7.1
AFG,38.44,15.3,2.76,7.2
AFG,42.4,16.8,5.39,4.8
AFG,48.28,18.2,7.18,4.9
AFG,42.7,19.7,9.55,5.8
AFG,43.22,21.3,15.35,5.6
AFG,69.1,22.7,11.38,7.3
AFG,68.04,24.3,8.38,8.1
AFG,89.5,25.7,7.91,10.0
AFG,71.5,27.25,8.28,9.2
AFG,97.7,28.5,7.47,11.0
AFG,97.7,30.0,7.81,10.7
AFG,93.43,31.1,9.29,9.9
AFG,97.7,32.45,10.33,10.5
AFG,97.7,33.8,14.73,10.2
AFG,97.7,35.4,14.85,10.7
AFG,,,14.62,
AFG,,,,
AFG,,,,
AGO,24.24,40.1,11.07,2.9
AGO,20.0,40.7,9.71,3.0
AGO,26.32,41.2,9.11,3.0
AGO,27.36,41.5,8.76,2.9
AGO,28.4,42.2,7.59,3.0
AGO,29.45,42.6,5.84,3.8
AGO,30.52,42.9,5.75,4.2
AGO,37.5,43.3,5.43,3.7
AGO,38.49,43.8,4.63,4.1
AGO,33.85,44.1,4.21,3.8
AGO,34.98,44.7,4.21,4.3
AGO,34.6,45.2,4.13,4.4
AGO,37.26,45.8,3.36,4.0
AGO,38.4,46.1,3.15,4.5
AGO,32.0,46.7,2.59,4.7
AGO,42.0,47.4,2.66,4.6
AGO,41.79,47.8,2.19,5.2
AGO,42.91,48.3,2.09,7.2
AGO,45.29,48.7,1.63,8.4
AGO,45.63,49.3,1.22,8.8
AGO,46.96,49.7,1.0,10.5
AGO,48.22,50.0,1.04,
AGO,,,0.95,
AGO,,,,
AGO,,,,
ALB,99.43,38.7,0.64,41.4
ALB,99.42,41.0,0.87,39.0
ALB,99.41,43.8,1.01,35.8
ALB,99.39,46.5,0.82,33.7
ALB,99.37,49.2,0.75,35.8
ALB,99.37,52.0,0.79,36.8
ALB,99.39,54.8,0.78,31.6
ALB,99.43,57.8,1.39,32.0
ALB,100.0,60.7,1.17,35.8
ALB,99.55,63.1,0.85,37.1
ALB,99.64,65.8,0.63,37.0
ALB,99.72,68.1,1.27,35.8
ALB,99.9,70.4,1.03,39.9
ALB,99.89,72.3,0.76,41.1
ALB,99.95,74.4,1.27,38.6
ALB,99.98,76.1,0.8,38.5
ALB,99.89,77.6,0.6,39.4
ALB,99.89,79.0,1.17,36.9
ALB,100.0,80.2,0.57,37.8
ALB,100.0,81.6,0.93,40.1
ALB,100.0,82.7,0.95,44.6
ALB,100.0,83.7,0.55,
ALB,,,0.71,
ALB,,,,
ALB,,,,
AND,100.0,100.0,,14.5
AND,100.0,100.0,,15.4
AND,100.0,100.0,,15.8
AND,100.0,100.0,,16.5
AND,100.0,100.0,,16.6
AND,100.0,100.0,,16.6
AND,100.0,100.0,,17.6
AND,100.0,100.0,,16.6
AND,100.0,100.0,,17.0
AND,100.0,100.0,,17.1
AND,100.0,100.0,,18.7
AND,100.0,100.0,,18.6
AND,100.0,100.0,,18.8
AND,100.0,100.0,,19.1
AND,100.0,100.0,,19.5
AND,100.0,100.0,,19.3
AND,100.0,100.0,,19.3
AND,100.0,100.0,,19.0
AND,100.0,100.0,,18.6
AND,100.0,100.0,,18.5
AND,100.0,100.0,,21.9
AND,100.0,100.0,,20.6
AND,,,,
AND,,,,
AND,,,,
ARE,100.0,100.0,2.74,0.1
ARE,100.0,100.0,2.3,0.1
ARE,100.0,100.0,1.78,0.1
ARE,100.0,100.0,2.12,0.1
ARE,100.0,100.0,2.1,0.1
ARE,100.0,100.0,1.86,0.1
ARE,100.0,100.0,1.8,0.1
ARE,100.0,100.0,1.67,0.1
ARE,100.0,100.0,1.89,0.1
ARE,100.0,100.0,1.94,0.1
ARE,100.0,100.0,1.95,0.1
ARE,100.0,100.0,1.98,0.1
ARE,100.0,100.0,1.94,0.1
ARE,100.0,100.0,1.91,0.1
ARE,100.0,100.0,1.78,0.1
ARE,100.0,100.0,1.77,0.1
ARE,100.0,100.0,1.75,0.1
ARE,100.0,100.0,1.58,0.2
ARE,100.0,100.0,1.54,0.3
ARE,100.0,100.0,1.59,0.7
ARE,100.0,100.0,1.58,0.9
ARE,100.0,100.0,1.59,
ARE,,,1.44,
ARE,,,,
ARE,,,,
ARG,95.68,95.8,1.61,8.8
ARG,95.51,96.3,1.5,10.8
ARG,96.1,96.8,1.48,10.9
ARG,96.3,97.2,1.47,10.0
ARG,96.51,97.6,1.57,8.6
ARG,96.73,98.0,1.54,9.1
ARG,96.96,98.3,1.54,8.6
ARG,97.22,98.6,1.55,7.2
ARG,97.5,98.9,1.56,7.1
ARG,97.79,99.1,1.48,8.1
ARG,98.82,99.2,1.48,8.3
ARG,99.03,99.4,1.47,8.3
ARG,99.14,99.5,1.41,8.2
ARG,99.29,99.6,1.36,8.4
ARG,100.0,99.7,1.36,9.3
ARG,99.69,99.8,1.32,8.9
ARG,99.9,99.8,1.29,8.9
ARG,100.0,99.8,1.29,9.9
ARG,99.99,99.9,1.23,10.1
ARG,100.0,99.9,1.29,10.3
ARG,100.0,99.9,1.17,9.3
ARG,100.0,99.9,1.25,
ARG,,,1.33,
ARG,,,,
ARG,,,,
ARM,98.9,80.1,0.6,7.2
ARM,100.0,82.7,0.62,5.4
ARM,98.0,85.3,0.58,8.9
ARM,99.11,87.4,0.65,9.8
ARM,99.09,89.2,0.64,8.7
ARM,99.8,90.8,0.72,6.5
ARM,99.11,92.1,0.77,7.7
ARM,99.15,93.3,0.9,7.0
ARM,99.21,94.2,0.95,6.4
ARM,99.28,95.0,0.8,7.8
ARM,99.8,95.6,0.68,9.4
ARM,99.5,96.1,0.69,8.0
ARM,99.54,96.5,0.74,6.6
ARM,99.42,96.9,0.74,6.8
ARM,99.71,97.3,0.74,7.1
ARM,100.0,97.4,0.72,10.7
ARM,99.8,97.7,0.73,13.2
ARM,99.7,97.9,0.74,12.6
ARM,99.9,98.0,0.77,11.1
ARM,100.0,98.1,0.84,10.3
ARM,100.0,98.2,0.89,8.4
ARM,100.0,98.4,0.91,
ARM,,,0.73,
ARM,,,,
ARM,,,,
ATG,97.67,100.0,2.37,0.0
ATG,97.75,100.0,2.16,0.0
ATG,100.0,100.0,2.13,0.0
ATG,97.87,100.0,2.03,0.0
ATG,97.94,100.0,2.04,0.0
ATG,92.2,100.0,1.98,0.0
ATG,100.0,100.0,2.0,0.0
ATG,100.0,100.0,1.87,0.0
ATG,100.0,100.0,1.82,0.0
ATG,98.53,100.0,1.7,0.0
ATG,98.69,100.0,1.67,0.0
ATG,94.55,100.0,1.66,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.4
ATG,100.0,100.0,1.71,0.4
ATG,100.0,100.0,1.73,0.4
ATG,100.0,100.0,1.72,0.7
ATG,100.0,100.0,1.79,0.7
ATG,100.0,100.0,1.79,0.7
ATG,100.0,100.0,1.69,0.7
ATG,,,1.69,
ATG,,,,
ATG,,,,
AUS,100.0,100.0,1.67,8.4
AUS,100.0,100.0,1.6,8.4
AUS,100.0,100.0,1.6,8.7
AUS,100.0,100.0,1.68,7.2
AUS,100.0,100.0,1.68,6.7
AUS,100.0,100.0,1.69,6.7
AUS,100.0,100.0,1.69,6.9
AUS,100.0,100.0,1.65,7.0
AUS,100.0,100.0,1.67,6.8
AUS,100.0,100.0,1.64,7.2
AUS,100.0,100.0,1.61,8.2
AUS,100.0,100.0,1.59,8.3
AUS,100.0,100.0,1.62,8.3
AUS,100.0,100.0,1.59,9.2
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.4
AUS,100.0,100.0,1.6,9.7
AUS,100.0,100.0,1.64,9.6
AUS,100.0,100.0,1.63,10.1
AUS,100.0,100.0,1.53,10.9
AUS,100.0,100.0,1.48,
AUS,,,1.5,
AUS,,,,
AUS,,,,
AUT,100.0,100.0,1.12,26.4
AUT,100.0,100.0,1.17,25.5
AUT,100.0,100.0,1.21,24.7
AUT,100.0,100.0,1.36,22.6
AUT,100.0,100.0,1.28,23.2
AUT,100.0,100.0,1.26,24.4
AUT,100.0,100.0,1.26,26.6
AUT,100.0,100.0,1.2,29.0
AUT,100.0,100.0,1.16,29.7
AUT,100.0,100.0,1.01,31.3
AUT,100.0,100.0,1.09,31.2
AUT,100.0,100.0,1.16,31.6
AUT,100.0,100.0,1.01,34.4
AUT,100.0,100.0,1.09,34.6
AUT,100.0,100.0,1.08,35.7
AUT,100.0,100.0,1.11,34.8
AUT,100.0,100.0,1.06,34.6
AUT,100.0,100.0,1.06,34.0
AUT,100.0,100.0,1.06,34.1
AUT,100.0,100.0,0.97,34.0
AUT,100.0,100.0,0.89,35.8
AUT,100.0,100.0,0.96,
AUT,,,1.03,
AUT,,,,
AUT,,,,
AZE,98.91,70.0,1.59,2.1
AZE,98.6,73.5,1.5,1.8
AZE,100.0,76.7,1.53,2.4
AZE,98.85,79.9,1.43,2.9
AZE,98.98,82.5,1.49,3.1
AZE,99.12,85.1,1.5,3.4
AZE,99.5,87.3,1.41,2.9
AZE,99.46,89.2,1.38,3.8
AZE,99.66,90.8,1.53,3.1
AZE,99.88,92.2,1.54,3.3
AZE,99.95,93.4,1.48,4.4
AZE,99.9,94.3,1.49,3.6
AZE,100.0,95.1,1.43,2.8
AZE,100.0,95.7,1.44,2.5
AZE,100.0,96.3,1.39,2.1
AZE,100.0,96.8,1.41,2.3
AZE,100.0,97.1,1.4,1.9
AZE,100.0,97.5,1.43,1.9
AZE,100.0,97.8,1.38,1.9
AZE,100.0,98.0,1.45,1.6
AZE,100.0,98.1,1.41,1.2
AZE,100.0,98.3,1.38,
AZE,,,1.32,
AZE,,,,
AZE,,,,
BDI,2.54,0.3,2.71,1.9
BDI,2.83,0.3,1.77,1.7
BDI,3.12,0.3,1.66,1.6
BDI,3.4,0.3,1.58,1.7
BDI,3.69,0.3,2.15,1.7
BDI,3.21,0.3,1.59,1.8
BDI,2.66,0.3,1.95,1.6
BDI,4.66,0.2,1.71,2.0
BDI,4.8,0.3,1.85,1.8
BDI,5.39,0.2,1.36,1.8
BDI,5.3,0.2,1.81,2.0
BDI,6.16,0.2,2.3,2.1
BDI,6.5,0.2,2.35,2.2
BDI,6.9,0.2,2.13,2.2
BDI,7.0,0.2,1.9,2.0
BDI,7.89,0.2,2.02,2.1
BDI,8.48,0.2,2.4,2.1
BDI,9.3,0.2,1.88,1.7
BDI,9.51,0.2,2.46,1.7
BDI,9.84,0.2,1.93,1.6
BDI,9.1,0.2,2.3,1.9
BDI,10.23,0.2,2.27,1.8
BDI,,,2.25,
BDI,,,,
BDI,,,,
BEL,100.0,100.0,1.59,1.4
BEL,100.0,100.0,1.66,1.6
BEL,100.0,100.0,1.62,1.7
BEL,100.0,100.0,1.59,1.9
BEL,100.0,100.0,1.61,2.0
BEL,100.0,100.0,1.54,2.4
BEL,100.0,100.0,1.54,2.9
BEL,100.0,100.0,1.44,3.4
BEL,100.0,100.0,1.5,4.0
BEL,100.0,100.0,1.24,4.9
BEL,100.0,100.0,1.27,6.2
BEL,100.0,100.0,1.22,6.7
BEL,100.0,100.0,1.29,7.7
BEL,100.0,100.0,1.3,8.3
BEL,100.0,100.0,1.41,9.1
BEL,100.0,100.0,1.52,9.4
BEL,100.0,100.0,1.19,9.2
BEL,100.0,100.0,1.17,9.7
BEL,100.0,100.0,1.36,10.7
BEL,100.0,100.0,1.08,10.2
BEL,100.0,100.0,1.05,12.3
BEL,100.0,100.0,0.98,
BEL,,,0.99,
BEL,,,,
BEL,,,,
BEN,21.53,0.6,17.54,12.0
BEN,21.9,0.8,25.59,11.2
BEN,23.36,1.1,33.49,10.7
BEN,24.27,1.5,29.93,10.3
BEN,25.18,1.9,32.02,10.1
BEN,26.1,2.4,23.27,9.9
BEN,27.9,2.9,21.62,9.7
BEN,28.01,3.4,17.79,9.2
BEN,28.99,3.9,17.04,9.3
BEN,29.99,4.2,32.75,8.9
BEN,34.2,4.6,40.34,7.9
BEN,36.9,4.7,43.92,8.1
BEN,38.4,4.9,89.85,8.4
BEN,34.65,5.0,34.59,8.9
BEN,34.1,5.1,13.7,8.7
BEN,29.62,5.0,16.15,8.7
BEN,37.03,4.9,23.53,7.9
BEN,34.5,4.9,20.59,7.9
BEN,39.01,4.8,36.84,7.7
BEN,40.0,4.8,13.45,8.0
BEN,40.99,4.7,7.83,8.0
BEN,41.97,4.6,7.38,
BEN,,,7.48,
BEN,,,,
BEN,,,,
BFA,9.1,2.7,2.65,1.4
BFA,9.51,2.9,2.72,1.4
BFA,9.92,3.2,2.74,1.6
BFA,11.4,3.4,2.42,1.6
BFA,10.73,3.7,2.33,1.6
BFA,11.15,3.9,2.18,1.3
BFA,11.59,4.3,2.48,1.1
BFA,12.05,4.7,2.6,1.1
BFA,12.53,5.0,2.81,1.1
BFA,12.63,5.4,2.62,1.1
BFA,13.1,5.8,3.57,1.1
BFA,14.78,6.2,3.96,1.0
BFA,15.07,6.7,4.13,1.0
BFA,15.39,7.2,3.86,1.0
BFA,19.2,7.7,3.31,0.7
BFA,16.15,8.2,3.67,0.6
BFA,16.57,8.7,3.95,0.8
BFA,17.01,9.3,4.05,0.8
BFA,14.4,9.8,4.55,0.8
BFA,17.6,10.3,6.88,1.3
BFA,18.47,11.1,7.03,1.3
BFA,18.95,11.7,7.65,1.3
BFA,,,7.63,
BFA,,,,
BFA,,,,
BGD,32.0,7.8,1.66,0.4
BGD,35.03,8.0,1.79,0.5
BGD,37.75,8.3,1.69,0.4
BGD,40.47,8.5,1.67,0.4
BGD,40.6,8.9,1.43,0.4
BGD,44.23,9.3,1.4,0.3
BGD,50.53,9.9,1.38,0.3
BGD,46.5,10.4,1.38,0.3
BGD,54.27,11.1,1.32,0.4
BGD,57.08,11.8,1.32,0.2
BGD,55.26,12.7,1.32,0.3
BGD,59.6,13.6,1.28,0.3
BGD,65.55,14.7,1.25,0.3
BGD,61.5,15.8,1.16,0.3
BGD,62.4,17.0,1.18,0.2
BGD,74.0,18.1,1.23,0.3
BGD,75.92,19.3,1.1,0.4
BGD,88.0,20.6,1.1,0.4
BGD,86.92,22.0,1.05,0.4
BGD,92.2,23.5,1.19,0.3
BGD,96.2,25.0,1.11,0.4
BGD,98.99,26.5,1.03,
BGD,,,1.0,
BGD,,,,
BGD,,,,
BGR,88.09,,1.15,8.0
BGR,88.61,,1.17,7.2
BGR,89.11,,1.1,8.7
BGR,89.61,,1.24,9.2
BGR,90.12,,1.24,9.6
BGR,90.64,,1.19,9.8
BGR,91.18,,1.18,10.0
BGR,91.74,,1.33,8.9
BGR,92.32,,1.25,9.9
BGR,92.91,,1.12,11.6
BGR,93.51,,1.07,14.3
BGR,94.12,,1.09,13.2
BGR,94.73,,1.07,15.6
BGR,95.33,,1.02,18.2
BGR,95.94,,0.99,17.1
BGR,96.59,,1.01,17.9
BGR,97.34,,1.05,17.7
BGR,98.07,,1.08,17.1
BGR,98.7,,0.96,19.6
BGR,99.2,,0.99,19.3
BGR,99.7,,0.93,21.1
BGR,99.8,,0.91,
BGR,,,0.92,
BGR,,,,
BGR,,,,
BHR,100.0,100.0,1.39,0.0
BHR,100.0,100.0,1.05,0.0
BHR,100.0,100.0,1.04,0.0
BHR,100.0,100.0,1.07,0.0
BHR,100.0,100.0,1.11,0.0
BHR,100.0,100.0,1.02,0.0
BHR,100.0,100.0,0.92,0.0
BHR,100.0,100.0,1.23,0.0
BHR,100.0,100.0,1.3,0.0
BHR,100.0,100.0,1.25,0.0
BHR,100.0,100.0,1.22,0.0
BHR,100.0,100.0,1.17,0.0
BHR,100.0,100.0,1.1,0.0
BHR,100.0,100.0,1.2,0.0
BHR,100.0,100.0,1.13,0.0
BHR,100.0,100.0,1.14,0.0
BHR,100.0,100.0,1.11,0.0
BHR,100.0,100.0,1.12,0.0
BHR,100.0,100.0,1.1,0.0
BHR,100.0,100.0,1.14,0.0
BHR,100.0,100.0,1.12,0.0
BHR,100.0,100.0,1.13,
BHR,,,1.06,
BHR,,,,
BHR,,,,
BHS,100.0,100.0,1.19,0.0
BHS,100.0,100.0,1.1,0.4
BHS,100.0,100.0,1.08,0.4
BHS,100.0,100.0,1.04,1.5
BHS,100.0,100.0,1.04,1.6
BHS,100.0,100.0,0.91,1.7
BHS,100.0,100.0,0.87,2.0
BHS,100.0,100.0,0.83,3.5
BHS,100.0,100.0,0.85,2.0
BHS,100.0,100.0,1.01,1.5
BHS,100.0,100.0,1.11,1.3
BHS,100.0,100.0,1.03,1.4
BHS,100.0,100.0,1.08,1.4
BHS,100.0,100.0,1.08,1.4
BHS,100.0,100.0,1.11,1.4
BHS,100.0,100.0,1.12,1.5
BHS,100.0,100.0,1.12,1.3
BHS,100.0,100.0,1.26,1.1
BHS,100.0,100.0,1.21,1.2
BHS,100.0,100.0,1.22,1.2
BHS,100.0,100.0,1.08,1.4
